Year,Median_Home_Value_USD,Median_Income_USD,Consumer_Price_Index,Bitcoin_Value_USD,Home_Price_in_Bitcoin
2014,175700.0,53482.0,236.73616666666666,522.8912328767123,336.016343271578
2015,178600.0,53889.0,237.01700000000002,272.02410958904113,656.5594508141904
2016,184700.0,55322.0,240.00716666666665,566.9978142076503,325.7508148565062
2017,193500.0,57652.0,245.11958333333334,3981.072328767123,48.604994840654896
2018,204900.0,60293.0,251.10683333333336,7552.158356164383,27.131316682833084
2019,217500.0,62843.0,255.65741666666668,7371.821917808219,29.50423957944264
2020,229800.0,64994.0,258.8111666666667,11111.631147540984,20.681032059892935
2021,244900.0,69021.0,270.96975000000003,47410.840000000004,5.165485361575538
2022,281900.0,75149.0,292.6549166666667,28185.67095890411,10.00153590138131
2023,340200.0,77719.0,304.7015833333333,28851.698630136987,11.791333479570064
2024,340200.0,80376.89072376213,304.7015833333333,64201.07089337176,5.298977030539266
